"","workerid","scale","degree","stars","judgment","language","exp","compliant","word"
"37","AX1I9MBLJDKGA","some_all","low",4,1,"English","e8",TRUE,"some"
"38","AX1I9MBLJDKGA","some_all","hi",5,1,"English","e8",TRUE,"all"
"39","AX1I9MBLJDKGA","liked_loved","hi",3,0,"English","e8",TRUE,"loved"
"40","AX1I9MBLJDKGA","palatable_delicious","low",3,1,"English","e8",TRUE,"palatable"
"41","AX1I9MBLJDKGA","liked_loved","low",2,0,"English","e8",TRUE,"liked"
"42","AX1I9MBLJDKGA","liked_loved","hi",4,1,"English","e8",TRUE,"loved"
"43","AX1I9MBLJDKGA","some_all","hi",3,0,"English","e8",TRUE,"all"
"44","AX1I9MBLJDKGA","memorable_unforgettable","low",4,0,"English","e8",TRUE,"memorable"
"45","AX1I9MBLJDKGA","palatable_delicious","low",5,1,"English","e8",TRUE,"palatable"
"46","AX1I9MBLJDKGA","some_all","hi",2,0,"English","e8",TRUE,"all"
"47","AX1I9MBLJDKGA","palatable_delicious","low",2,0,"English","e8",TRUE,"palatable"
"48","AX1I9MBLJDKGA","palatable_delicious","hi",5,1,"English","e8",TRUE,"delicious"
"49","AX1I9MBLJDKGA","liked_loved","low",3,0,"English","e8",TRUE,"liked"
"50","AX1I9MBLJDKGA","good_excellent","hi",4,1,"English","e8",TRUE,"excellent"
"51","A3W6T1WDYXMR3","good_excellent","hi",3,0,"english","e8",TRUE,"excellent"
"52","A3W6T1WDYXMR3","good_excellent","hi",5,1,"english","e8",TRUE,"excellent"
"53","A3W6T1WDYXMR3","liked_loved","hi",5,1,"english","e8",TRUE,"loved"
"54","A3W6T1WDYXMR3","some_all","hi",2,0,"english","e8",TRUE,"all"
"55","A3W6T1WDYXMR3","memorable_unforgettable","hi",4,0,"english","e8",TRUE,"unforgettable"
"56","A3W6T1WDYXMR3","some_all","low",4,1,"english","e8",TRUE,"some"
"57","A3W6T1WDYXMR3","liked_loved","low",4,1,"english","e8",TRUE,"liked"
"58","A3W6T1WDYXMR3","memorable_unforgettable","low",4,0,"english","e8",TRUE,"memorable"
"59","A3W6T1WDYXMR3","memorable_unforgettable","hi",3,0,"english","e8",TRUE,"unforgettable"
"60","A3W6T1WDYXMR3","memorable_unforgettable","hi",1,0,"english","e8",TRUE,"unforgettable"
"61","A3W6T1WDYXMR3","liked_loved","hi",2,0,"english","e8",TRUE,"loved"
"62","A3W6T1WDYXMR3","palatable_delicious","low",4,1,"english","e8",TRUE,"palatable"
"63","A3W6T1WDYXMR3","memorable_unforgettable","low",2,0,"english","e8",TRUE,"memorable"
"64","A3W6T1WDYXMR3","some_all","hi",3,0,"english","e8",TRUE,"all"
"65","A3W6T1WDYXMR3","good_excellent","low",5,1,"english","e8",TRUE,"good"
"66","A3W6T1WDYXMR3","palatable_delicious","hi",4,1,"english","e8",TRUE,"delicious"
"67","A3W6T1WDYXMR3","good_excellent","hi",2,0,"english","e8",TRUE,"excellent"
"68","A3W6T1WDYXMR3","palatable_delicious","low",2,1,"english","e8",TRUE,"palatable"
"69","A3W6T1WDYXMR3","some_all","low",2,1,"english","e8",TRUE,"some"
"70","A3W6T1WDYXMR3","some_all","low",3,1,"english","e8",TRUE,"some"
"71","A3W6T1WDYXMR3","some_all","hi",1,0,"english","e8",TRUE,"all"
"72","A3W6T1WDYXMR3","good_excellent","low",2,0,"english","e8",TRUE,"good"
"73","A3W6T1WDYXMR3","palatable_delicious","hi",2,0,"english","e8",TRUE,"delicious"
"74","A3W6T1WDYXMR3","good_excellent","low",3,1,"english","e8",TRUE,"good"
"75","A3W6T1WDYXMR3","palatable_delicious","hi",5,1,"english","e8",TRUE,"delicious"
"76","A3W6T1WDYXMR3","liked_loved","low",5,1,"english","e8",TRUE,"liked"
"77","A3W6T1WDYXMR3","some_all","low",5,1,"english","e8",TRUE,"some"
"78","A3W6T1WDYXMR3","palatable_delicious","low",1,0,"english","e8",TRUE,"palatable"
"79","A3W6T1WDYXMR3","memorable_unforgettable","low",5,1,"english","e8",TRUE,"memorable"
"80","A3W6T1WDYXMR3","palatable_delicious","hi",1,0,"english","e8",TRUE,"delicious"
"81","A3W6T1WDYXMR3","some_all","hi",5,1,"english","e8",TRUE,"all"
"82","A3W6T1WDYXMR3","liked_loved","low",1,0,"english","e8",TRUE,"liked"
"83","A3W6T1WDYXMR3","liked_loved","hi",1,0,"english","e8",TRUE,"loved"
"84","A3W6T1WDYXMR3","memorable_unforgettable","hi",5,1,"english","e8",TRUE,"unforgettable"
"85","A3W6T1WDYXMR3","liked_loved","low",2,0,"english","e8",TRUE,"liked"
"86","A3W6T1WDYXMR3","liked_loved","hi",4,0,"english","e8",TRUE,"loved"
"87","A3W6T1WDYXMR3","liked_loved","low",3,1,"english","e8",TRUE,"liked"
"88","A3W6T1WDYXMR3","some_all","low",1,0,"english","e8",TRUE,"some"
"89","A3W6T1WDYXMR3","some_all","hi",4,1,"english","e8",TRUE,"all"
"90","A3W6T1WDYXMR3","memorable_unforgettable","low",3,0,"english","e8",TRUE,"memorable"
"91","A3W6T1WDYXMR3","good_excellent","hi",4,1,"english","e8",TRUE,"excellent"
"92","A3W6T1WDYXMR3","palatable_delicious","low",3,1,"english","e8",TRUE,"palatable"
"93","A3W6T1WDYXMR3","good_excellent","hi",1,0,"english","e8",TRUE,"excellent"
"94","A3W6T1WDYXMR3","memorable_unforgettable","low",1,0,"english","e8",TRUE,"memorable"
"95","A3W6T1WDYXMR3","palatable_delicious","hi",3,0,"english","e8",TRUE,"delicious"
"96","A3W6T1WDYXMR3","palatable_delicious","low",5,1,"english","e8",TRUE,"palatable"
"97","A3W6T1WDYXMR3","good_excellent","low",1,0,"english","e8",TRUE,"good"
"98","A3W6T1WDYXMR3","liked_loved","hi",3,0,"english","e8",TRUE,"loved"
"99","A3W6T1WDYXMR3","good_excellent","low",4,1,"english","e8",TRUE,"good"
"100","A3W6T1WDYXMR3","memorable_unforgettable","hi",2,0,"english","e8",TRUE,"unforgettable"
"101","A27LGC4MU1R7PQ","memorable_unforgettable","low",5,1,"English","e8",TRUE,"memorable"
"102","A27LGC4MU1R7PQ","memorable_unforgettable","hi",5,1,"English","e8",TRUE,"unforgettable"
"103","A27LGC4MU1R7PQ","some_all","hi",5,1,"English","e8",TRUE,"all"
"104","A27LGC4MU1R7PQ","some_all","hi",1,0,"English","e8",TRUE,"all"
"105","A27LGC4MU1R7PQ","some_all","low",1,0,"English","e8",TRUE,"some"
"106","A27LGC4MU1R7PQ","some_all","hi",4,0,"English","e8",TRUE,"all"
"107","A27LGC4MU1R7PQ","good_excellent","hi",4,0,"English","e8",TRUE,"excellent"
"108","A27LGC4MU1R7PQ","palatable_delicious","low",3,1,"English","e8",TRUE,"palatable"
"109","A27LGC4MU1R7PQ","palatable_delicious","hi",3,0,"English","e8",TRUE,"delicious"
"110","A27LGC4MU1R7PQ","palatable_delicious","hi",4,1,"English","e8",TRUE,"delicious"
"111","A27LGC4MU1R7PQ","memorable_unforgettable","low",2,0,"English","e8",TRUE,"memorable"
"112","A27LGC4MU1R7PQ","good_excellent","hi",3,0,"English","e8",TRUE,"excellent"
"113","A27LGC4MU1R7PQ","memorable_unforgettable","hi",4,0,"English","e8",TRUE,"unforgettable"
"114","A27LGC4MU1R7PQ","palatable_delicious","hi",5,1,"English","e8",TRUE,"delicious"
"115","A27LGC4MU1R7PQ","some_all","low",2,1,"English","e8",TRUE,"some"
"116","A27LGC4MU1R7PQ","palatable_delicious","low",1,0,"English","e8",TRUE,"palatable"
"117","A27LGC4MU1R7PQ","good_excellent","hi",1,0,"English","e8",TRUE,"excellent"
"118","A27LGC4MU1R7PQ","good_excellent","hi",2,0,"English","e8",TRUE,"excellent"
"119","A27LGC4MU1R7PQ","palatable_delicious","hi",2,0,"English","e8",TRUE,"delicious"
"120","A27LGC4MU1R7PQ","liked_loved","low",3,1,"English","e8",TRUE,"liked"
"121","A27LGC4MU1R7PQ","good_excellent","low",1,0,"English","e8",TRUE,"good"
"122","A27LGC4MU1R7PQ","good_excellent","low",4,1,"English","e8",TRUE,"good"
"123","A27LGC4MU1R7PQ","memorable_unforgettable","low",1,0,"English","e8",TRUE,"memorable"
"124","A27LGC4MU1R7PQ","palatable_delicious","hi",1,0,"English","e8",TRUE,"delicious"
"125","A27LGC4MU1R7PQ","good_excellent","low",2,0,"English","e8",TRUE,"good"
"126","A27LGC4MU1R7PQ","good_excellent","low",3,1,"English","e8",TRUE,"good"
"127","A27LGC4MU1R7PQ","liked_loved","hi",4,0,"English","e8",TRUE,"loved"
"128","A27LGC4MU1R7PQ","memorable_unforgettable","hi",2,0,"English","e8",TRUE,"unforgettable"
"129","A27LGC4MU1R7PQ","liked_loved","hi",1,0,"English","e8",TRUE,"loved"
"130","A27LGC4MU1R7PQ","good_excellent","hi",5,1,"English","e8",TRUE,"excellent"
"131","A27LGC4MU1R7PQ","liked_loved","hi",3,0,"English","e8",TRUE,"loved"
"132","A27LGC4MU1R7PQ","liked_loved","low",5,1,"English","e8",TRUE,"liked"
"133","A27LGC4MU1R7PQ","liked_loved","low",2,0,"English","e8",TRUE,"liked"
"134","A27LGC4MU1R7PQ","liked_loved","hi",5,1,"English","e8",TRUE,"loved"
"135","A27LGC4MU1R7PQ","some_all","hi",3,0,"English","e8",TRUE,"all"
"136","A27LGC4MU1R7PQ","palatable_delicious","low",2,0,"English","e8",TRUE,"palatable"
"137","A27LGC4MU1R7PQ","liked_loved","low",1,0,"English","e8",TRUE,"liked"
"138","A27LGC4MU1R7PQ","good_excellent","low",5,1,"English","e8",TRUE,"good"
"139","A27LGC4MU1R7PQ","liked_loved","hi",2,0,"English","e8",TRUE,"loved"
"140","A27LGC4MU1R7PQ","some_all","low",4,1,"English","e8",TRUE,"some"
"141","A27LGC4MU1R7PQ","some_all","low",5,1,"English","e8",TRUE,"some"
"142","A27LGC4MU1R7PQ","palatable_delicious","low",4,1,"English","e8",TRUE,"palatable"
"143","A27LGC4MU1R7PQ","liked_loved","low",4,1,"English","e8",TRUE,"liked"
"144","A27LGC4MU1R7PQ","palatable_delicious","low",5,1,"English","e8",TRUE,"palatable"
"145","A27LGC4MU1R7PQ","memorable_unforgettable","hi",3,0,"English","e8",TRUE,"unforgettable"
"146","A27LGC4MU1R7PQ","memorable_unforgettable","low",4,1,"English","e8",TRUE,"memorable"
"147","A27LGC4MU1R7PQ","memorable_unforgettable","low",3,1,"English","e8",TRUE,"memorable"
"148","A27LGC4MU1R7PQ","some_all","low",3,1,"English","e8",TRUE,"some"
"149","A27LGC4MU1R7PQ","memorable_unforgettable","hi",1,0,"English","e8",TRUE,"unforgettable"
"150","A27LGC4MU1R7PQ","some_all","hi",2,0,"English","e8",TRUE,"all"
"151","A14D297BQB6QF3","good_excellent","hi",4,1,"English","e8",TRUE,"excellent"
"152","A14D297BQB6QF3","palatable_delicious","low",2,1,"English","e8",TRUE,"palatable"
"153","A14D297BQB6QF3","liked_loved","low",4,1,"English","e8",TRUE,"liked"
"154","A14D297BQB6QF3","some_all","hi",3,0,"English","e8",TRUE,"all"
"155","A14D297BQB6QF3","good_excellent","low",2,0,"English","e8",TRUE,"good"
"156","A14D297BQB6QF3","liked_loved","hi",3,0,"English","e8",TRUE,"loved"
"157","A14D297BQB6QF3","good_excellent","hi",2,0,"English","e8",TRUE,"excellent"
"158","A14D297BQB6QF3","some_all","low",3,1,"English","e8",TRUE,"some"
"159","A14D297BQB6QF3","some_all","hi",2,0,"English","e8",TRUE,"all"
"160","A14D297BQB6QF3","some_all","low",4,1,"English","e8",TRUE,"some"
"161","A14D297BQB6QF3","good_excellent","low",1,0,"English","e8",TRUE,"good"
"162","A14D297BQB6QF3","palatable_delicious","low",1,0,"English","e8",TRUE,"palatable"
"163","A14D297BQB6QF3","liked_loved","low",5,1,"English","e8",TRUE,"liked"
"164","A14D297BQB6QF3","liked_loved","hi",1,0,"English","e8",TRUE,"loved"
"165","A14D297BQB6QF3","memorable_unforgettable","low",5,1,"English","e8",TRUE,"memorable"
"166","A14D297BQB6QF3","liked_loved","low",2,0,"English","e8",TRUE,"liked"
"167","A14D297BQB6QF3","some_all","low",2,1,"English","e8",TRUE,"some"
"168","A14D297BQB6QF3","good_excellent","low",4,1,"English","e8",TRUE,"good"
"169","A14D297BQB6QF3","memorable_unforgettable","low",2,0,"English","e8",TRUE,"memorable"
"170","A14D297BQB6QF3","good_excellent","low",3,1,"English","e8",TRUE,"good"
"171","A14D297BQB6QF3","liked_loved","low",1,0,"English","e8",TRUE,"liked"
"172","A14D297BQB6QF3","palatable_delicious","hi",3,0,"English","e8",TRUE,"delicious"
"173","A14D297BQB6QF3","memorable_unforgettable","hi",1,0,"English","e8",TRUE,"unforgettable"
"174","A14D297BQB6QF3","some_all","hi",4,1,"English","e8",TRUE,"all"
"175","A14D297BQB6QF3","some_all","hi",1,0,"English","e8",TRUE,"all"
"176","A14D297BQB6QF3","palatable_delicious","low",5,1,"English","e8",TRUE,"palatable"
"177","A14D297BQB6QF3","palatable_delicious","hi",2,0,"English","e8",TRUE,"delicious"
"178","A14D297BQB6QF3","memorable_unforgettable","low",1,0,"English","e8",TRUE,"memorable"
"179","A14D297BQB6QF3","liked_loved","hi",2,0,"English","e8",TRUE,"loved"
"180","A14D297BQB6QF3","liked_loved","hi",5,1,"English","e8",TRUE,"loved"
"181","A14D297BQB6QF3","good_excellent","low",5,1,"English","e8",TRUE,"good"
"182","A14D297BQB6QF3","memorable_unforgettable","low",4,1,"English","e8",TRUE,"memorable"
"183","A14D297BQB6QF3","palatable_delicious","low",3,1,"English","e8",TRUE,"palatable"
"184","A14D297BQB6QF3","palatable_delicious","hi",5,1,"English","e8",TRUE,"delicious"
"185","A14D297BQB6QF3","good_excellent","hi",5,1,"English","e8",TRUE,"excellent"
"186","A14D297BQB6QF3","memorable_unforgettable","hi",3,0,"English","e8",TRUE,"unforgettable"
"187","A14D297BQB6QF3","good_excellent","hi",3,0,"English","e8",TRUE,"excellent"
"188","A14D297BQB6QF3","some_all","low",1,0,"English","e8",TRUE,"some"
"189","A14D297BQB6QF3","some_all","hi",5,1,"English","e8",TRUE,"all"
"190","A14D297BQB6QF3","liked_loved","low",3,1,"English","e8",TRUE,"liked"
"191","A14D297BQB6QF3","some_all","low",5,1,"English","e8",TRUE,"some"
"192","A14D297BQB6QF3","memorable_unforgettable","hi",2,0,"English","e8",TRUE,"unforgettable"
"193","A14D297BQB6QF3","memorable_unforgettable","hi",5,1,"English","e8",TRUE,"unforgettable"
"194","A14D297BQB6QF3","liked_loved","hi",4,1,"English","e8",TRUE,"loved"
"195","A14D297BQB6QF3","memorable_unforgettable","low",3,0,"English","e8",TRUE,"memorable"
"196","A14D297BQB6QF3","good_excellent","hi",1,0,"English","e8",TRUE,"excellent"
"197","A14D297BQB6QF3","palatable_delicious","hi",1,0,"English","e8",TRUE,"delicious"
"198","A14D297BQB6QF3","palatable_delicious","hi",4,1,"English","e8",TRUE,"delicious"
"199","A14D297BQB6QF3","palatable_delicious","low",4,1,"English","e8",TRUE,"palatable"
"200","A14D297BQB6QF3","memorable_unforgettable","hi",4,0,"English","e8",TRUE,"unforgettable"
"201","A2TCIHHKLL8LQC","good_excellent","low",3,0,"English","e8",TRUE,"good"
"202","A2TCIHHKLL8LQC","good_excellent","low",1,0,"English","e8",TRUE,"good"
"203","A2TCIHHKLL8LQC","palatable_delicious","hi",2,0,"English","e8",TRUE,"delicious"
"204","A2TCIHHKLL8LQC","good_excellent","hi",2,0,"English","e8",TRUE,"excellent"
"205","A2TCIHHKLL8LQC","good_excellent","hi",5,1,"English","e8",TRUE,"excellent"
"206","A2TCIHHKLL8LQC","good_excellent","low",4,1,"English","e8",TRUE,"good"
"207","A2TCIHHKLL8LQC","some_all","low",3,1,"English","e8",TRUE,"some"
"208","A2TCIHHKLL8LQC","memorable_unforgettable","hi",3,1,"English","e8",TRUE,"unforgettable"
"209","A2TCIHHKLL8LQC","liked_loved","hi",2,0,"English","e8",TRUE,"loved"
"210","A2TCIHHKLL8LQC","some_all","hi",1,0,"English","e8",TRUE,"all"
"211","A2TCIHHKLL8LQC","liked_loved","low",2,0,"English","e8",TRUE,"liked"
"212","A2TCIHHKLL8LQC","palatable_delicious","low",1,0,"English","e8",TRUE,"palatable"
"213","A2TCIHHKLL8LQC","some_all","hi",4,1,"English","e8",TRUE,"all"
"214","A2TCIHHKLL8LQC","good_excellent","hi",1,0,"English","e8",TRUE,"excellent"
"215","A2TCIHHKLL8LQC","liked_loved","hi",5,1,"English","e8",TRUE,"loved"
"216","A2TCIHHKLL8LQC","some_all","low",4,1,"English","e8",TRUE,"some"
"217","A2TCIHHKLL8LQC","good_excellent","hi",4,1,"English","e8",TRUE,"excellent"
"218","A2TCIHHKLL8LQC","some_all","hi",5,1,"English","e8",TRUE,"all"
"219","A2TCIHHKLL8LQC","palatable_delicious","low",2,0,"English","e8",TRUE,"palatable"
"220","A2TCIHHKLL8LQC","palatable_delicious","hi",5,1,"English","e8",TRUE,"delicious"
"221","A2TCIHHKLL8LQC","memorable_unforgettable","low",1,0,"English","e8",TRUE,"memorable"
"222","A2TCIHHKLL8LQC","palatable_delicious","low",4,1,"English","e8",TRUE,"palatable"
"223","A2TCIHHKLL8LQC","memorable_unforgettable","hi",4,0,"English","e8",TRUE,"unforgettable"
"224","A2TCIHHKLL8LQC","palatable_delicious","low",3,1,"English","e8",TRUE,"palatable"
"225","A2TCIHHKLL8LQC","some_all","low",5,1,"English","e8",TRUE,"some"
"226","A2TCIHHKLL8LQC","memorable_unforgettable","low",4,0,"English","e8",TRUE,"memorable"
"227","A2TCIHHKLL8LQC","liked_loved","hi",3,0,"English","e8",TRUE,"loved"
"228","A2TCIHHKLL8LQC","liked_loved","hi",4,1,"English","e8",TRUE,"loved"
"229","A2TCIHHKLL8LQC","liked_loved","low",4,1,"English","e8",TRUE,"liked"
"230","A2TCIHHKLL8LQC","some_all","hi",3,0,"English","e8",TRUE,"all"
"231","A2TCIHHKLL8LQC","good_excellent","low",2,0,"English","e8",TRUE,"good"
"232","A2TCIHHKLL8LQC","memorable_unforgettable","low",2,0,"English","e8",TRUE,"memorable"
"233","A2TCIHHKLL8LQC","liked_loved","low",3,0,"English","e8",TRUE,"liked"
"234","A2TCIHHKLL8LQC","liked_loved","hi",1,0,"English","e8",TRUE,"loved"
"235","A2TCIHHKLL8LQC","some_all","low",1,0,"English","e8",TRUE,"some"
"236","A2TCIHHKLL8LQC","memorable_unforgettable","low",5,1,"English","e8",TRUE,"memorable"
"237","A2TCIHHKLL8LQC","liked_loved","low",5,1,"English","e8",TRUE,"liked"
"238","A2TCIHHKLL8LQC","palatable_delicious","hi",1,0,"English","e8",TRUE,"delicious"
"239","A2TCIHHKLL8LQC","palatable_delicious","hi",3,0,"English","e8",TRUE,"delicious"
"240","A2TCIHHKLL8LQC","some_all","hi",2,0,"English","e8",TRUE,"all"
"241","A2TCIHHKLL8LQC","memorable_unforgettable","low",3,0,"English","e8",TRUE,"memorable"
"242","A2TCIHHKLL8LQC","good_excellent","hi",3,0,"English","e8",TRUE,"excellent"
"243","A2TCIHHKLL8LQC","memorable_unforgettable","hi",5,0,"English","e8",TRUE,"unforgettable"
"244","A2TCIHHKLL8LQC","palatable_delicious","low",5,1,"English","e8",TRUE,"palatable"
"245","A2TCIHHKLL8LQC","good_excellent","low",5,1,"English","e8",TRUE,"good"
"246","A2TCIHHKLL8LQC","liked_loved","low",1,0,"English","e8",TRUE,"liked"
"247","A2TCIHHKLL8LQC","memorable_unforgettable","hi",1,0,"English","e8",TRUE,"unforgettable"
"248","A2TCIHHKLL8LQC","palatable_delicious","hi",4,1,"English","e8",TRUE,"delicious"
"249","A2TCIHHKLL8LQC","some_all","low",2,0,"English","e8",TRUE,"some"
"250","A2TCIHHKLL8LQC","memorable_unforgettable","hi",2,0,"English","e8",TRUE,"unforgettable"
"251","A29593QY8K2F9N","liked_loved","hi",3,0,"English","e8",TRUE,"loved"
"252","A29593QY8K2F9N","memorable_unforgettable","hi",1,0,"English","e8",TRUE,"unforgettable"
"253","A29593QY8K2F9N","palatable_delicious","hi",1,0,"English","e8",TRUE,"delicious"
"254","A29593QY8K2F9N","liked_loved","low",5,1,"English","e8",TRUE,"liked"
"255","A29593QY8K2F9N","some_all","hi",2,0,"English","e8",TRUE,"all"
"256","A29593QY8K2F9N","palatable_delicious","hi",2,0,"English","e8",TRUE,"delicious"
"257","A29593QY8K2F9N","some_all","low",3,0,"English","e8",TRUE,"some"
"258","A29593QY8K2F9N","good_excellent","hi",1,0,"English","e8",TRUE,"excellent"
"259","A29593QY8K2F9N","good_excellent","low",2,0,"English","e8",TRUE,"good"
"260","A29593QY8K2F9N","palatable_delicious","low",5,1,"English","e8",TRUE,"palatable"
"261","A29593QY8K2F9N","palatable_delicious","hi",4,0,"English","e8",TRUE,"delicious"
"262","A29593QY8K2F9N","liked_loved","low",4,1,"English","e8",TRUE,"liked"
"263","A29593QY8K2F9N","liked_loved","hi",4,0,"English","e8",TRUE,"loved"
"264","A29593QY8K2F9N","some_all","hi",1,0,"English","e8",TRUE,"all"
"265","A29593QY8K2F9N","liked_loved","hi",5,1,"English","e8",TRUE,"loved"
"266","A29593QY8K2F9N","some_all","low",4,1,"English","e8",TRUE,"some"
"267","A29593QY8K2F9N","memorable_unforgettable","hi",5,1,"English","e8",TRUE,"unforgettable"
"268","A29593QY8K2F9N","palatable_delicious","low",2,0,"English","e8",TRUE,"palatable"
"269","A29593QY8K2F9N","palatable_delicious","hi",5,1,"English","e8",TRUE,"delicious"
"270","A29593QY8K2F9N","good_excellent","low",4,1,"English","e8",TRUE,"good"
"271","A29593QY8K2F9N","good_excellent","low",5,1,"English","e8",TRUE,"good"
"272","A29593QY8K2F9N","good_excellent","hi",2,0,"English","e8",TRUE,"excellent"
"273","A29593QY8K2F9N","liked_loved","low",1,0,"English","e8",TRUE,"liked"
"274","A29593QY8K2F9N","liked_loved","low",3,1,"English","e8",TRUE,"liked"
"275","A29593QY8K2F9N","some_all","low",1,0,"English","e8",TRUE,"some"
"276","A29593QY8K2F9N","liked_loved","low",2,0,"English","e8",TRUE,"liked"
"277","A29593QY8K2F9N","palatable_delicious","low",4,1,"English","e8",TRUE,"palatable"
"278","A29593QY8K2F9N","good_excellent","low",3,0,"English","e8",TRUE,"good"
"279","A29593QY8K2F9N","good_excellent","low",1,0,"English","e8",TRUE,"good"
"280","A29593QY8K2F9N","some_all","hi",4,0,"English","e8",TRUE,"all"
"281","A29593QY8K2F9N","some_all","hi",5,1,"English","e8",TRUE,"all"
"282","A29593QY8K2F9N","memorable_unforgettable","hi",2,0,"English","e8",TRUE,"unforgettable"
"283","A29593QY8K2F9N","memorable_unforgettable","hi",3,0,"English","e8",TRUE,"unforgettable"
"284","A29593QY8K2F9N","memorable_unforgettable","low",1,0,"English","e8",TRUE,"memorable"
"285","A29593QY8K2F9N","memorable_unforgettable","low",2,0,"English","e8",TRUE,"memorable"
"286","A29593QY8K2F9N","palatable_delicious","low",3,1,"English","e8",TRUE,"palatable"
"287","A29593QY8K2F9N","some_all","low",5,1,"English","e8",TRUE,"some"
"288","A29593QY8K2F9N","liked_loved","hi",1,0,"English","e8",TRUE,"loved"
"289","A29593QY8K2F9N","good_excellent","hi",4,1,"English","e8",TRUE,"excellent"
"290","A29593QY8K2F9N","memorable_unforgettable","hi",4,1,"English","e8",TRUE,"unforgettable"
"291","A29593QY8K2F9N","palatable_delicious","hi",3,0,"English","e8",TRUE,"delicious"
"292","A29593QY8K2F9N","palatable_delicious","low",1,0,"English","e8",TRUE,"palatable"
"293","A29593QY8K2F9N","liked_loved","hi",2,0,"English","e8",TRUE,"loved"
"294","A29593QY8K2F9N","memorable_unforgettable","low",3,0,"English","e8",TRUE,"memorable"
"295","A29593QY8K2F9N","some_all","hi",3,0,"English","e8",TRUE,"all"
"296","A29593QY8K2F9N","memorable_unforgettable","low",5,1,"English","e8",TRUE,"memorable"
"297","A29593QY8K2F9N","some_all","low",2,0,"English","e8",TRUE,"some"
"298","A29593QY8K2F9N","good_excellent","hi",5,1,"English","e8",TRUE,"excellent"
"299","A29593QY8K2F9N","memorable_unforgettable","low",4,0,"English","e8",TRUE,"memorable"
"300","A29593QY8K2F9N","good_excellent","hi",3,1,"English","e8",TRUE,"excellent"
